ID,Release Group,Runtime ,Metascore,Rated,Year,Genre 1,Genre 2,Genre 3,Sequel
1202,Dune: Part Two,2h 46m,79,PG,2024,Science Fiction, Adventure,,TRUE
1203,Godzilla x Kong: The New Empire,1h 55m,47,PG,2024, Action, Adventure,,TRUE
1204,Kung Fu Panda 4,1h 34m,54,PG,2024,Animation, Action, Adventure,TRUE
1205,Bob Marley: One Love,1h 47m,43,PG,2024,Documentary, Music,,FALSE
1206,Ghostbusters: Frozen Empire,1h 55m,46,PG,2024,Comedy, Fantasy,,TRUE
1207,The Beekeeper,1h 45m,54,14A,2024,Drama,,,TRUE
1208,Mean Girls ,1h 52m,58,PG,2024,Comedy,Musical,,TRUE
1209,Madame Web,1h 56m,26,PG,2024,Action, Adventure, Fantasy,FALSE
1210,Argylle,2h 19m,35,PG,2024,Action, Thriller,,FALSE
1211,Exhuma,2h 14m,,14A,2024,Horror,,,FALSE
1212,Haikyuu!! The Dumpster Battle,1h 25m,,,2024,Anime, Sports,,FALSE
1213,Night Swim,1h 38m,43,14A,2024,Thriller, Horror,,FALSE
1214,Civil War,1h 49m,75,14A,2024,Drama, Action,,FALSE
1215,The First Omen,1h 59m,65,18A,2024,Horror,,,FALSE
1216,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,61,14A,2024,Anime, Action, Fantasy,FALSE
1217,Imaginary,1h 44m,34,14A,2024,Drama, Fantasy,,FALSE
1218,Arthur the King,1h 47m,54,PG-13,2024,Adventure, Drama,,FALSE
1219,Mobile Suit Gundam Seed Freedom,2h 4m,,,2024,Anime, Action, Science-Fiction,FALSE
1220,Monkey Man,2h 1m,70,14A,2024,Crime, Drama,,FALSE
1221,The Master and Margarita,,,,2024,Drama, Fantasy,,FALSE
1222,A Strange House,,,,2024,Horror, Mystery,,FALSE
1223,Doraemon the Movie: Nobita's Earth Symphony,1h 55m,,,2024,Animation, Adventure, Comedy,FALSE
1224,Mai,2h 11m,,PG,2024,Drama,,,FALSE
1225,Detective Conan: The Million-Dollar Pentagram,1h 30m,,,2024,Anime, Mystery,,FALSE
1226,Immaculate,1h 29m,57,14A,2024,Drama, Mystery,,FALSE
1227,Autumn and the Black Jaguar,1h 40m,,PG,2024,Drama, Romance,,FALSE
1228,Wicked Little Letters,1h 40m,58,,2024,Drama, Mystery,,FALSE
1229,Lyod 3,2h 14m,51,PG,2024,Action, Adventure, Fantasy,FALSE
1230,Cabrini,2h 22m,,,2024,Horror,,,FALSE
1231,Ordinary Angels,1h 58m,57,PG,2024,Drama, Romance,,FALSE
1232,Golden Kamuy,2h 7m,,,2024,Action, Adventure, Historical,FALSE
1233,Chantal in Fairyland,1h 58m,,,2024,Fantasy, Adventure,,FALSE
1234,Cocorico,1h 32m,,,2024,Comedy,,,FALSE
1235,Kleks Academy,2h 5m,,,2024,Fantasy, Adventure,,FALSE
1236,Abigail,1h 49m,63,18A,2024,Fantasy, Adventure,,TRUE
1237,The Chosen: S4 Episodes 1-3,,,,2024,Drama, Fantasy,,TRUE
1238,Citizen of a Kind,1h 54m,,,2024,Action,Crime,,FALSE
1239,Maison de retraite 2,1h 42m,,,2024,Comedy,,,TRUE
1240,Eine Million Minuten,2h 3m,,,2024,Drama,Comedy,,FALSE
1241,Article 370,2h 38m,,PG,2024,Action, Thriller,,FALSE
1242,Alienoid: The Return to the Future,2h 2m,,PG,2024,Science-Fiction, Action,,FALSE
1243,Cat and Dog,1h 26m,,,2024,Comedy, Drama,,FALSE
1244,Late Night with the Devil,1h 33m,72,14A,2024,Horror, Thriller,,FALSE
1245,Letuchiy korabl,1h 40m,,,2024,Animation, Adventure,,FALSE
1246,Lisa Frankenstein,1h 41m,47,PG,2024,Horror, Comedy,,FALSE
1247,The Chosen: S4 Episodes 4-6,,,,2024,Drama, Fantasy,,TRUE
1248,The Ministry of Ungentlemanly Warfare,2h,57,R,2024,War, Drama,,FALSE
1249,Lohusa,1h 58m,,,2024,Romance,Comedy,,FALSE
1250,Love Lies Bleeding,1h 44m,76,18A,2024,Thriller,Crime,,FALSE
1251,Onegin,2h 26m,,,2024,Drama, Romance,,FALSE
1002,Barbie,1h 54m,80,PG,2023,Comedy,Fantasy,,FALSE
1003,The Super Mario Bros. Movie,1h 32m,46,PG,2023,Animation,Adventure,Comedy,FALSE
1004,Oppenheimer,3h,90,G,2023,Biography,Drama,History,FALSE
1005,Guardians of the Galaxy Vol. 3,2h 30m,64,PG,2023,Action,Adventure,Comedy,TRUE
1006,Fast X,2h 21m,56,PG,2023,Action,Adventure,Crime,TRUE
1007,Spider-Man: Across the Spider-Verse,2h 20m,86,PG,2023,Animation,Action,Adventure,TRUE
1008,Wonka,1h 56m,66,PG,2023,Adventure,Comedy,Family,TRUE
1009,The Little Mermaid,2h 15m,59,PG,2023,Adventure,Drama,Family,TRUE
1010,Mission: Impossible - Dead Reckoning Part One,2h 43m,81,PG,2023,Action,Adventure,Thriller,TRUE
1011,Elemental,1h 41m,58,G,2023,Sci-Fi,Thriller,,FALSE
1012,Ant-Man and the Wasp: Quantumania,2h 4m,48,PG,2023,Action,Adventure,Comedy,TRUE
