ID,Year,Release Group,Worldwide,Inflation rate,Worldwide inflation,Domestic,Domestic inflation,Foreign gross,Foreign inflation
1202,2024,Dune: Part Two,695792913,0,695792913,276592913,276592913,419200000,419200000
1203,2024,Godzilla x Kong: The New Empire,485216510,0,485216510,171616510,171616510,313600000,313600000
1204,2024,Kung Fu Panda 4,480306475,0,480306475,179982475,179982475,300324000,300324000
1205,2024,Bob Marley: One Love,177138001,0,177138001,96838001,96838001,80300000,80300000
1206,2024,Ghostbusters: Frozen Empire,176114270,0,176114270,102914270,102914270,73200000,73200000
1207,2024,The Beekeeper,152720535,0,152720535,66220535,66220535,86500000,86500000
1208,2024,Mean Girls,104404248,0,104404248,72404248,72404248,32000000,32000000
1209,2024,Madame Web,100280337,0,100280337,43817106,43817106,56463231,56463231
1210,2024,Argylle,95500586,0,95500586,45207275,45207275,50293311,50293311
1211,2024,Exhuma,92918534,0,92918534,2004702,2004702,90913832,90913832
1212,2024,Haikyuu!! The Dumpster Battle,62663242,0,62663242,0,0,62663242,62663242
1213,2024,Night Swim,54075969,0,54075969,32494740,32494740,21581229,21581229
1214,2024,Civil War,49464260,0,49464260,44884414,44884414,4579846,4579846
1215,2024,The First Omen,45065038,0,45065038,17765038,17765038,27300000,27300000
1216,2024,Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,44301018,0,44301018,17657658,17657658,26643360,26643360
1217,2024,Imaginary,38940844,0,38940844,27962041,27962041,10978803,10978803
1218,2024,Arthur the King,30206554,0,30206554,24453828,24453828,5752726,5752726
1219,2024,Mobile Suit Gundam Seed Freedom,29073426,0,29073426,0,0,29073426,29073426
1220,2024,Monkey Man,28309790,0,28309790,21674790,21674790,6635000,6635000
1221,2024,The Master and Margarita,26130163,0,26130163,0,0,26130163,26130163
1222,2024,A Strange House,25181533,0,25181533,0,0,25181533,25181533
1223,2024,Doraemon the Movie: Nobita's Earth Symphony,24956303,0,24956303,0,0,24956303,24956303
1224,2024,Mai,22066339,0,22066339,0,0,22066339,22066339
1225,2024,Detective Conan: The Million-Dollar Pentagram,21867208,0,21867208,0,0,21867208,21867208
1226,2024,Immaculate,21670138,0,21670138,15580724,15580724,6089414,6089414
1227,2024,Autumn and the Black Jaguar,21320076,0,21320076,0,0,21320076,21320076
1228,2024,Wicked Little Letters,21062717,0,21062717,3589878,3589878,17472839,17472839
1229,2024,Lyod 3,20641464,0,20641464,0,0,20641464,20641464
1230,2024,Cabrini,20050484,0,20050484,19307447,19307447,743037,743037
1231,2024,Ordinary Angels,19447276,0,19447276,19174421,19174421,272855,272855
1232,2024,Golden Kamuy,19077748,0,19077748,0,0,19077748,19077748
1233,2024,Chantal in Fairyland,18695030,0,18695030,0,0,18695030,18695030
1234,2024,Cocorico,17205279,0,17205279,0,0,17205279,17205279
1235,2024,Kleks Academy,15348026,0,15348026,0,0,15348026,15348026
1236,2024,Abigail,15227000,0,15227000,10200000,10200000,5027000,5027000
1237,2024,The Chosen: S4 Episodes 1-3,14799620,0,14799620,14409169,14409169,390451,390451
1238,2024,Citizen of a Kind,12494455,0,12494455,0,0,12494455,12494455
1239,2024,Maison de retraite 2,11196943,0,11196943,0,0,11196943,11196943
1240,2024,Eine Million Minuten,11077140,0,11077140,0,0,11077140,11077140
1241,2024,Article 370,11073822,0,11073822,980649,980649,10093173,10093173
