ID ,Year,Release Group,Worldwide_gross,Inflation_rate,Worlwide_inflation,Domestic,Domestic_inflation,Foreign_gross,Foreign_inflation
2,2018,Avengers: Infinity War,2048359754,0.2439,2547954698,678815482,844378578.1,1369544272,1703576120
3,2018,Black Panther,1346913161,0.2439,1675425281,700059566,870804094.1,646853595,804621186.8
4,2018,Jurassic World: Fallen Kingdom,1308467944,0.2439,1627603276,417719760,519601609.5,890748184,1108001666
5,2018,Incredibles 2,1242805359,0.2439,1545925586,608581744,757014831.4,634223615,788910754.7
6,2018,Aquaman,1151961807,0.2439,1432925292,335061807,416783381.7,816900000,1016141910
7,2018,Bohemian Rhapsody,903655259,0.2439,1124056777,216428042,269214841.4,687227217,854841935.2
8,2018,Venom,856085151,0.2439,1064884319,213515506,265591937.9,642569645,799292381.4
9,2018,Mission: Impossible - Fallout,791115104,0.2439,984068077.9,220159104,273855909.5,570956000,710212168.4
10,2018,Deadpool 2,734546611,0.2439,913702529.4,318491426,396171484.8,416055185,517531044.6
11,2018,Fantastic Beasts: The Crimes of Grindelwald,655755901,0.2439,815694765.3,159555901,198471585.3,496200000,617223180
12,2018,Ant-Man and the Wasp,622674139,0.2439,774544361.5,216648740,269489367.7,406025399,505054993.8
13,2018,Ready Player One,583490172,0.2439,725803425,137690172,171272805,445800000,554530620
14,2018,Operation Red Sea,579330426,0.2439,720629116.9,1543547,1920018.113,577786879,718709098.8
15,2018,Detective Chinatown 2,544185156,0.2439,676911915.5,1983984,2467877.698,542201172,674444037.9
16,2018,Ralph Breaks the Internet,529323962,0.2439,658426076.3,201091711,250137979.3,328232251,408288097
17,2018,The Meg,529243742,0.2439,658326290.7,145443742,180917470.7,383800000,477408820
18,2018,Hotel Transylvania 3: Summer Vacation,528583774,0.2439,657505356.5,167510016,208365708.9,361073758,449139647.6
19,2018,The Grinch,512453517,0.2439,637440929.8,271478510,337692118.6,240975007,299748811.2
20,2018,Bumblebee,467989645,0.2439,582132319.4,127195589,158218593.2,340794056,423913726.3
21,2018,Dying to Survive,451176639,0.2439,561218621.3,0,0,451176639,561218621.3
22,2018,A Star Is Born,436388866,0.2439,542824110.4,215288866,267797820.4,221100000,275026290
23,2018,Rampage,428128233,0.2439,532548709,101028233,125669019,327100000,406879690
24,2018,Mamma Mia! Here We Go Again,395044706,0.2439,491396109.8,120634935,150057795.6,274409771,341338314.1
25,2018,Solo: A Star Wars Story,392924807,0.2439,488759167.4,213767512,265905408.2,179157295,222853759.3
26,2018,Spider-Man: Into the Spider-Verse,375582637,0.2439,467187242.2,190241310,236641165.5,185341327,230546076.7
27,2018,Fifty Shades Freed,371985018,0.2439,462712163.9,100407760,124897212.7,271577258,337814951.2
28,2018,Hello Mr. Billionaire,366961907,0.2439,456463916.1,0,0,366961907,456463916.1
29,2018,The Nun,366050119,0.2439,455329743,117450119,146096203,248600000,309233540
